2025-11-24 20:58:50,858 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:58:50,858 - INFO - 
================================================================================
2025-11-24 20:58:50,858 - INFO - [EP 0] START
2025-11-24 20:58:50,858 - INFO - [EP 0] max_steps = 300
2025-11-24 20:58:51,401 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-c95d01f.cif
2025-11-24 20:58:51,401 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:58:51,436 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:59:05,681 - INFO - [EP 0][STEP 119] N=76 | Favg=1.241617 Fmax=5.005714 rew_mean=-0.165714 | ep_buf=9,120 | alpha=1.00000
2025-11-24 20:59:05,782 - INFO - [EP 0][STEP 120] N=76 | Favg=1.245238 Fmax=4.834247 rew_mean=-0.028140 | ep_buf=9,196 | alpha=1.00000
2025-11-24 20:59:05,884 - INFO - [EP 0][STEP 121] N=76 | Favg=1.229849 Fmax=4.516351 rew_mean=0.160276 | ep_buf=9,272 | alpha=1.00000
2025-11-24 20:59:05,985 - INFO - [EP 0][STEP 122] N=76 | Favg=1.231677 Fmax=4.363795 rew_mean=0.028256 | ep_buf=9,348 | alpha=1.00000
2025-11-24 20:59:06,087 - INFO - [EP 0][STEP 123] N=76 | Favg=1.240400 Fmax=3.968113 rew_mean=-0.265579 | ep_buf=9,424 | alpha=1.00000
2025-11-24 20:59:06,189 - INFO - [EP 0][STEP 124] N=76 | Favg=1.241224 Fmax=3.955529 rew_mean=-0.105871 | ep_buf=9,500 | alpha=1.00000
2025-11-24 20:59:06,290 - INFO - [EP 0][STEP 125] N=76 | Favg=1.245494 Fmax=4.141896 rew_mean=0.086146 | ep_buf=9,576 | alpha=1.00000
2025-11-24 20:59:06,392 - INFO - [EP 0][STEP 126] N=76 | Favg=1.230764 Fmax=3.986146 rew_mean=0.205747 | ep_buf=9,652 | alpha=1.00000
2025-11-24 20:59:06,493 - INFO - [EP 0][STEP 127] N=76 | Favg=1.226059 Fmax=4.053047 rew_mean=-0.039625 | ep_buf=9,728 | alpha=1.00000
2025-11-24 20:59:06,595 - INFO - [EP 0][STEP 128] N=76 | Favg=1.236037 Fmax=4.250712 rew_mean=0.073732 | ep_buf=9,804 | alpha=1.00000
2025-11-24 20:59:06,697 - INFO - [EP 0][STEP 129] N=76 | Favg=1.247429 Fmax=4.352639 rew_mean=-0.126684 | ep_buf=9,880 | alpha=1.00000
2025-11-24 20:59:06,798 - INFO - [EP 0][STEP 130] N=76 | Favg=1.226194 Fmax=4.234259 rew_mean=0.180634 | ep_buf=9,956 | alpha=1.00000
2025-11-24 20:59:06,900 - INFO - [EP 0][STEP 131] N=76 | Favg=1.237435 Fmax=4.073283 rew_mean=-0.189716 | ep_buf=10,032 | alpha=1.00000
2025-11-24 20:59:07,001 - INFO - [EP 0][STEP 132] N=76 | Favg=1.262321 Fmax=4.170767 rew_mean=-0.388915 | ep_buf=10,108 | alpha=1.00000
2025-11-24 20:59:07,103 - INFO - [EP 0][STEP 133] N=76 | Favg=1.265004 Fmax=4.022294 rew_mean=-0.044444 | ep_buf=10,184 | alpha=1.00000
2025-11-24 20:59:07,204 - INFO - [EP 0][STEP 134] N=76 | Favg=1.289939 Fmax=4.170146 rew_mean=-0.188853 | ep_buf=10,260 | alpha=1.00000
2025-11-24 20:59:07,306 - INFO - [EP 0][STEP 135] N=76 | Favg=1.295203 Fmax=4.265659 rew_mean=-0.097942 | ep_buf=10,336 | alpha=1.00000
2025-11-24 20:59:07,408 - INFO - [EP 0][STEP 136] N=76 | Favg=1.312831 Fmax=4.465157 rew_mean=-0.177757 | ep_buf=10,412 | alpha=1.00000
2025-11-24 20:59:07,509 - INFO - [EP 0][STEP 137] N=76 | Favg=1.324135 Fmax=4.642178 rew_mean=-0.074232 | ep_buf=10,488 | alpha=1.00000
2025-11-24 20:59:07,610 - INFO - [EP 0][STEP 138] N=76 | Favg=1.317976 Fmax=4.600696 rew_mean=0.102875 | ep_buf=10,564 | alpha=1.00000
2025-11-24 20:59:07,712 - INFO - [EP 0][STEP 139] N=76 | Favg=1.311790 Fmax=4.530452 rew_mean=0.077629 | ep_buf=10,640 | alpha=1.00000
2025-11-24 20:59:07,813 - INFO - [EP 0][STEP 140] N=76 | Favg=1.320030 Fmax=4.798928 rew_mean=-0.163926 | ep_buf=10,716 | alpha=1.00000
