episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
127,7042,-76.051361,81,bond,455.499146,300000,"mofs/train_pool_valid/qmof-2ff8597.cif"
128,7064,-26.646003,22,bond,106.806755,300000,"mofs/train_pool_valid/qmof-b5e491c.cif"
129,7120,-50.292032,56,bond,330.461395,300000,"mofs/train_pool_valid/qmof-b0214d8.cif"
130,7183,-57.934975,63,bond,292.527283,300000,"mofs/train_pool_valid/qmof-1f56bb6.cif"
131,7225,-34.562063,42,bond,488.113922,300000,"mofs/train_pool_valid/qmof-10b52ba.cif"
132,7269,-39.774522,44,bond,264.704163,300000,"mofs/train_pool_valid/qmof-25cd768.cif"
133,7339,-59.437275,70,bond,3125.374023,300000,"mofs/train_pool_valid/qmof-350f9ea.cif"
134,7385,-34.474387,46,bond,1946.018311,300000,"mofs/train_pool_valid/qmof-df50092.cif"
135,7438,-50.396664,53,bond,167.129700,300000,"mofs/train_pool_valid/qmof-376ea57.cif"
136,7486,-45.361655,48,bond,551.465515,300000,"mofs/train_pool_valid/qmof-f351ef7.cif"
137,7558,-66.521240,72,bond,3281.878418,300000,"mofs/train_pool_valid/qmof-9533602.cif"
138,7637,-75.108727,79,bond,21139.041016,300000,"mofs/train_pool_valid/qmof-d481578.cif"
139,7712,-75.344210,75,bond,1877.914917,300000,"mofs/train_pool_valid/qmof-1590633.cif"
140,7794,-111.520799,82,bond,187.512619,300000,"mofs/train_pool_valid/qmof-87b704c.cif"
141,7845,-73.253044,51,bond,329.972382,300000,"mofs/train_pool_valid/qmof-86929da.cif"
142,7884,-36.288663,39,bond,1705.602661,300000,"mofs/train_pool_valid/qmof-d46ee4f.cif"
143,7925,-45.073899,41,bond,208.180206,300000,"mofs/train_pool_valid/qmof-a6c2dc0.cif"
144,7982,-81.294612,57,bond,1918.876099,300000,"mofs/train_pool_valid/qmof-bd47743.cif"
145,8086,-126.534094,104,bond,7347.147949,300000,"mofs/train_pool_valid/qmof-59216ed.cif"
146,8159,-77.215413,73,bond,206.284027,300000,"mofs/train_pool_valid/qmof-c5532d8.cif"
147,8290,-136.371248,131,bond,35836.289062,300000,"mofs/train_pool_valid/qmof-03894a2.cif"
148,8331,-47.519400,41,bond,185.474380,300000,"mofs/train_pool_valid/qmof-f3344fd.cif"
149,8386,-55.309047,55,bond,23952.500000,300000,"mofs/train_pool_valid/qmof-2773926.cif"
150,8431,-50.953695,45,bond,113.259697,300000,"mofs/train_pool_valid/qmof-f3c6526.cif"
151,8502,-83.915516,71,bond,528.870667,300000,"mofs/train_pool_valid/qmof-bfa7cd1.cif"
152,8547,-42.355663,45,bond,165.368195,300000,"mofs/train_pool_valid/qmof-5e04df0.cif"
153,8646,-112.207513,99,bond,128.857422,300000,"mofs/train_pool_valid/qmof-e3eee18.cif"
154,8726,-81.638503,80,bond,3889.333740,300000,"mofs/train_pool_valid/qmof-78b016a.cif"
155,8791,-67.962994,65,bond,11433.763672,300000,"mofs/train_pool_valid/qmof-264ad8f.cif"
156,8843,-62.587669,52,bond,94.078453,300000,"mofs/train_pool_valid/qmof-6864a0e.cif"
157,8918,-82.256254,75,bond,2816.204102,300000,"mofs/train_pool_valid/qmof-99eb0be.cif"
158,8968,-59.278968,50,bond,214.563522,300000,"mofs/train_pool_valid/qmof-36e178b.cif"
159,9042,-73.104178,74,bond,1774.072998,300000,"mofs/train_pool_valid/qmof-a196ea1.cif"
160,9082,-37.713971,40,bond,824.793640,300000,"mofs/train_pool_valid/qmof-011c3e3.cif"
161,9155,-85.250471,73,bond,548.952087,300000,"mofs/train_pool_valid/qmof-5ce863d.cif"
162,9224,-73.419815,69,bond,7859.676758,300000,"mofs/train_pool_valid/qmof-b23c232.cif"
163,9275,-54.275106,51,bond,5156.762207,300000,"mofs/train_pool_valid/qmof-3dfec94.cif"
164,9364,-88.015599,89,bond,235.060226,300000,"mofs/train_pool_valid/qmof-b51f1fa.cif"
165,9401,-38.896267,37,bond,209.639252,300000,"mofs/train_pool_valid/qmof-2473511.cif"
166,9478,-84.083011,77,bond,1443.339233,300000,"mofs/train_pool_valid/qmof-debb278.cif"
167,9520,-39.387169,42,bond,6703.065430,300000,"mofs/train_pool_valid/qmof-6a17ede.cif"
168,9597,-82.118243,77,bond,3582.280518,300000,"mofs/train_pool_valid/qmof-e300fed.cif"
169,9660,-69.789002,63,bond,862.537537,300000,"mofs/train_pool_valid/qmof-b51f1fa.cif"
170,9756,-118.871632,96,bond,2199.846924,300000,"mofs/train_pool_valid/qmof-d9678a4.cif"
171,9854,-92.927598,98,bond,184.502502,300000,"mofs/train_pool_valid/qmof-4581200.cif"
172,9959,-117.819411,105,bond,5657.543457,300000,"mofs/train_pool_valid/qmof-350f9ea.cif"
173,10059,-129.827383,100,bond,2408.855713,300000,"mofs/train_pool_valid/qmof-83bc42a.cif"
174,10154,-124.805965,95,bond,3084.026611,300000,"mofs/train_pool_valid/qmof-380a2f6.cif"
175,10233,-91.558097,79,bond,2017.547485,300000,"mofs/train_pool_valid/qmof-c060980.cif"
176,10304,-87.133795,71,bond,1390.220703,300000,"mofs/train_pool_valid/qmof-bda7761.cif"
177,10439,-183.104450,135,bond,4114.784180,300000,"mofs/train_pool_valid/qmof-00324c8.cif"
178,10497,-67.087651,58,bond,1529.173828,300000,"mofs/train_pool_valid/qmof-d55dcc4.cif"
179,10531,-41.138869,34,bond,150.379822,300000,"mofs/train_pool_valid/qmof-73aa17b.cif"
180,10606,-92.327969,75,bond,27511.300781,300000,"mofs/train_pool_valid/qmof-ae10753.cif"
181,10648,-47.979553,42,bond,2476.021484,300000,"mofs/train_pool_valid/qmof-063efc4.cif"
182,10707,-80.183747,59,bond,1076.474487,300000,"mofs/train_pool_valid/qmof-267b04e.cif"
183,10768,-92.613281,61,bond,422.549957,300000,"mofs/train_pool_valid/qmof-8045d77.cif"
184,10795,-35.780866,27,bond,99.483551,300000,"mofs/train_pool_valid/qmof-6db07a6.cif"
185,10827,-49.425663,32,bond,91.729149,300000,"mofs/train_pool_valid/qmof-54e3d77.cif"
186,10911,-97.028349,84,bond,175.100784,300000,"mofs/train_pool_valid/qmof-14525b3.cif"
187,10936,-32.673174,25,bond,149.476654,300000,"mofs/train_pool_valid/qmof-5572326.cif"
188,11019,-112.389152,83,bond,9244.072266,300000,"mofs/train_pool_valid/qmof-caa7611.cif"
189,11095,-118.549389,76,bond,3964.970459,300000,"mofs/train_pool_valid/qmof-1a6c50b.cif"
190,11138,-57.800866,43,bond,210.821548,300000,"mofs/train_pool_valid/qmof-1d8ceca.cif"
191,11237,-122.815624,99,bond,10472.933594,300000,"mofs/train_pool_valid/qmof-ad2c0ca.cif"
192,11319,-127.541708,82,bond,5973.653809,300000,"mofs/train_pool_valid/qmof-175a5d9.cif"
193,11375,-77.971259,56,bond,3636.562988,300000,"mofs/train_pool_valid/qmof-be7c662.cif"
194,11437,-105.648420,62,bond,248.420013,300000,"mofs/train_pool_valid/qmof-2b351d2.cif"
195,11471,-50.097977,34,bond,45.250080,300000,"mofs/train_pool_valid/qmof-2c2efe3.cif"
196,11526,-71.069889,55,bond,81068.781250,300000,"mofs/train_pool_valid/qmof-eb94d2d.cif"
197,11585,-82.878530,59,bond,257.185181,300000,"mofs/train_pool_valid/qmof-a92f564.cif"
